400,400,400,400,400,400
400,402,401,398,400,399
398,404,403,396,398,399
395,404,404,395,397,400
393,402,406,393,396,400
392,399,410,389,396,401
390,396,412,383,395,402
390,391,412,376,396,404
392,388,413,371,398,404
394,383,416,365,398,404
395,376,417,361,399,402
396,371,420,356,402,402
396,364,422,352,404,404
397,359,422,349,405,405
397,356,423,347,405,405
397,351,424,345,406,405
396,344,423,342,406,405
396,338,423,337,408,403
398,333,423,332,412,402
401,327,422,329,418,401
406,323,419,328,424,402
409,320,416,325,432,403
412,319,412,323,440,405
414,317,410,319,447,406
416,316,409,315,453,406
416,317,406,313,460,408
417,319,401,311,466,408
418,323,397,309,470,407
420,326,391,306,476,408
423,327,384,305,481,408
425,326,378,306,488,408
428,326,371,307,494,409
432,327,365,308,502,410
438,328,357,309,511,413
442,328,347,310,518,415
446,329,337,309,525,418
451,330,329,309,531,419
455,329,320,309,538,422
461,326,313,310,545,425
467,323,306,310,553,430
473,321,301,311,563,436
478,318,296,311,573,442
481,316,290,309,583,450
482,315,282,306,593,456
482,314,272,302,603,463
484,313,264,300,611,469
484,314,256,296,617,475
483,313,248,294,623,479
483,310,241,293,630,481
484,307,232,291,639,485
485,305,224,288,649,489
488,304,216,286,658,495
490,301,209,283,668,501
494,297,200,278,677,508
496,293,190,272,687,517
500,290,180,267,697,527
502,288,170,262,705,537
505,285,160,255,713,547
508,283,150,249,722,557
509,279,141,244,732,567
510,274,131,239,742,577
512,267,122,235,752,585
513,259,115,230,762,594
515,252,110,223,772,602
519,247,107,217,782,608
524,240,104,210,791,613
529,232,101,201,798,617
533,222,99,194,800,620
536,214,99,188,800,624
540,206,99,181,800,626
544,200,98,172,800,629
548,196,98,165,800,633
550,190,97,160,800,639
554,182,98,157,800,644
556,174,99,154,800,648
559,165,102,149,800,651
560,158,104,146,798,655
563,150,105,141,794,657
566,144,106,136,790,660
569,139,106,130,788,664
574,134,107,122,786,670
579,127,109,114,784,675
585,119,109,104,780,679
591,113,110,96,775,681
599,109,113,87,768,682
607,106,116,77,762,681
616,105,120,67,756,678
625,105,124,57,750,674
635,104,130,47,746,669
644,105,136,37,744,666
654,107,143,27,740,662
662,107,151,19,734,656
668,108,161,11,728,649
673,111,171,1,723,644
677,116,181,0,720,637
679,119,191,0,715,629
682,120,201,0,712,622
683,119,211,0,711,617
686,116,221,0,710,613
691,113,231,0,708,609
697,109,241,0,707,603
701,107,250,0,708,596
706,107,258,0,711,587
712,109,268,0,716,579
719,110,278,0,720,571
724,110,288,0,725,565
729,110,298,0,728,559
732,112,308,0,729,553
736,112,317,0,728,545
740,111,327,0,727,536
746,109,336,0,726,526
750,107,346,0,726,516
756,104,356,0,724,507
763,102,365,0,722,497
768,98,375,0,721,488
771,96,383,0,720,478
775,92,390,0,718,469
777,89,397,0,715,460
780,86,402,0,712,452
783,85,405,0,710,445
786,85,410,0,710,436
788,83,415,0,708,426
791,79,418,0,706,417
796,77,422,0,704,410
800,73,426,0,702,405
800,68,432,0,698,401
800,63,437,0,695,396
800,60,440,0,691,392
800,59,444,0,685,386
800,57,450,0,680,380
800,53,455,0,677,374
800,48,458,0,675,369
800,43,459,0,673,363
800,36,458,0,669,357
800,29,455,0,667,352
800,20,454,0,663,346
800,12,453,0,658,339
800,5,451,0,654,330
800,0,447,0,648,320
800,0,443,0,643,310
800,0,438,0,636,302
800,0,433,0,627,294
800,0,430,0,618,286
800,0,427,0,608,279
800,0,422,0,598,273
800,0,418,0,588,266
800,0,415,0,578,258
800,0,410,0,570,248
800,0,404,0,560,238
800,0,400,0,551,230
800,0,398,0,543,221
800,0,394,0,534,212
800,0,389,0,524,205
800,0,385,0,514,198
800,0,381,0,505,189
800,0,377,0,496,182
800,0,375,0,488,173
800,0,374,0,481,165
800,0,372,0,474,156
800,0,370,0,468,148
800,0,367,0,464,139
800,0,363,0,458,129
800,0,359,0,451,121
800,0,357,0,445,114
800,0,354,0,439,109
800,0,352,0,432,102
800,0,350,0,424,93
800,0,347,0,417,83
800,0,345,0,408,74
800,0,343,0,398,64
800,0,339,0,389,54
800,0,334,0,380,44
800,0,327,0,370,36
800,0,322,0,362,28
800,0,319,0,355,20
800,0,315,0,346,12
800,0,310,0,336,4
800,0,305,0,326,0
800,0,300,0,316,0
800,0,293,0,307,0
800,0,284,0,297,0
800,0,275,0,287,0
800,0,265,0,279,0
800,0,257,0,270,0
800,0,247,0,262,0
800,0,237,0,256,0
800,0,228,0,250,0
800,0,219,0,242,0
800,0,212,0,235,0
800,0,206,0,228,0
800,0,201,0,222,0
800,0,196,0,214,0
800,0,191,0,208,0
800,0,184,0,203,0
800,0,178,0,199,0
800,0,173,0,197,0
800,0,167,0,193,0
800,0,160,0,189,0
800,0,151,0,186,0
800,0,142,0,183,0
800,0,132,0,180,0
800,0,122,0,179,0
800,0,112,0,176,0
800,0,103,0,174,0
800,0,93,0,172,0
800,0,83,0,171,0
800,0,75,0,168,0
800,0,68,0,163,0
800,0,62,0,160,0
800,0,58,0,156,0
800,0,55,0,150,0
800,0,54,0,142,0
800,0,53,0,134,0
800,0,53,0,125,0
798,0,53,0,118,0
795,0,52,0,113,0
794,0,53,0,110,0
794,0,52,0,107,0
794,0,53,0,106,1
793,0,53,0,104,3
792,0,53,0,103,5
793,0,52,0,102,9
794,0,51,0,102,15
793,0,49,0,102,21
792,0,45,0,102,27
789,0,41,0,100,34
788,0,36,0,99,39
785,0,30,0,100,45
784,0,26,0,99,51
783,0,20,0,96,55
784,0,13,0,93,57
787,0,7,0,92,60
788,0,0,0,90,61
787,0,0,0,90,63
788,0,0,0,92,65
789,0,0,0,96,65
790,0,0,0,101,66
792,0,0,0,108,68
796,0,0,0,113,72
800,0,0,0,119,74
800,0,0,0,126,74
800,0,0,0,131,73
800,0,0,0,137,70
800,0,0,0,145,68
800,0,0,0,152,64
800,0,0,0,158,60
800,0,0,0,164,55
800,0,0,0,171,50
800,0,0,0,178,43
800,2,0,0,183,34
800,5,0,0,190,27
800,6,0,0,197,22
800,8,0,0,202,15
800,10,0,0,208,8
800,14,0,0,213,0
800,20,0,0,219,0
800,24,0,0,227,0
800,30,0,0,235,0
800,34,0,0,244,0
800,40,0,0,253,0
